Date,Exercise,Reps,Weight(kg),Duration(s),Distance(m),Incline,Resistance,isWarmup,Note,multiplier
2021-01-12 23:32:32 +0000,Dumbbell Front Raise, 6,10.205840462301895,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-12 23:32:32 +0000,Dumbbell Front Raise, 6,10.205840462301895,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-12 23:32:32 +0000,Lat Pulldown, 8,22.67964547178199,0.0,0.0,0.0,0.0,true,, 1.0
2021-01-12 23:32:32 +0000,Lat Pulldown, 12,36.28743275485118,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-12 23:32:32 +0000,Lat Pulldown, 12,36.28743275485118,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-12 23:32:32 +0000,Lat Pulldown, 12,36.28743275485118,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-12 23:32:32 +0000,Lat Pulldown, 12,36.28743275485118,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-12 23:32:32 +0000,Back Squat, 10,20.41168092460379,0.0,0.0,0.0,0.0,true,, 1.0
2021-01-12 23:32:32 +0000,Back Squat, 10,34.01946820767298,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-12 23:32:32 +0000,Back Squat, 10,34.01946820767298,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-12 23:32:32 +0000,Back Squat, 10,34.01946820767298,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-12 23:32:32 +0000,Dumbbell Lunge, 7,11.339822735890994,0.0,0.0,0.0,0.0,false,, 4.0
2021-01-12 23:32:32 +0000,Dumbbell Lunge, 7,11.339822735890994,0.0,0.0,0.0,0.0,false,, 4.0
2021-01-12 23:32:32 +0000,Dumbbell Rear Delt Raise, 14,4.535929094356398,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-12 23:32:32 +0000,Dumbbell Rear Delt Raise, 14,4.535929094356398,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-12 23:32:32 +0000,Dumbbell Rear Delt Raise, 14,4.535929094356398,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-12 23:32:32 +0000,Dumbbell Rear Delt Raise, 14,4.535929094356398,0.0,0.0,0.0,0.0,false,, 2.0
